component,sample,constant,mc,rh,load_type,direction,label,outlier,mc_mean
E_RR,2_TR-195-150-921,1091.147339131103,0.1108253250423968,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-952,1074.253047996054,0.109800589168366,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-984,1007.554238151811,0.1098590748948745,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,4_TR-201-126-046,956.2863492354973,0.1764292144947108,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-077,972.0969315588445,0.1767313019390582,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-108,857.9649183025779,0.1771539648962324,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-140,,0.1773866213151928,85.0,tension,TR,"$E_{t,RR}$",True,17.688435211345272
E_RR,4_TR-201-126-171,980.8114469228233,0.1787089851471169,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-202,954.6957639407221,0.1785027161611588,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-234,,0.1780634201585504,85.0,tension,TR,"$E_{t,RR}$",True,17.688435211345272
E_RR,4_TR-201-126-265,904.2979089910093,0.1769439882199695,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-296,961.2378394658588,0.1770450042456836,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-328,906.3350166336731,0.1775689014584371,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-359,943.3004630296114,0.1775749380211853,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-390,928.1891323943777,0.1769084503103853,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-422,938.6899455480022,0.1768820524336159,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-453,896.9466076222711,0.1781073367284124,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-484,903.5319183209303,0.1779859617344051,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-516,943.013324178036,0.1776727769554823,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-547,,0.1779949988633781,85.0,tension,TR,"$E_{t,RR}$",True,17.688435211345272
E_RR,4_TR-201-126-578,1000.759384063605,0.1785792890943105,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-610,894.9197725136981,0.1783100503365194,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-641,,0.1785714285714283,85.0,tension,TR,"$E_{t,RR}$",True,17.688435211345272
E_RR,4_TR-201-126-672,898.7507053979821,0.1786482774407691,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-704,944.9666970491786,0.1782633697527313,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-735,946.8372594492622,0.172137034714701,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-766,939.452796030188,0.1773523164360754,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-798,894.5704491129333,0.1774795733091239,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-923,979.6189465765927,0.1778861510381018,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,4_TR-201-126-954,861.2916953423447,0.1771591761380028,85.0,tension,TR,"$E_{t,RR}$",False,17.688435211345272
E_RR,5_TR-202-131-025,811.1576405007618,,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-056,839.3737482377087,0.2104713519616144,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-087,822.5345017472989,0.2109276237116337,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-119,770.273463646434,0.2111483797612278,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-150,834.1994986621391,0.2112982814361068,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-181,787.744096231883,0.2116477758159139,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-213,788.4511368742649,0.2121879422587037,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-244,794.532382100746,0.2118120045300113,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-275,774.7480793611044,0.2102703930924789,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-307,775.0657129749801,0.209466613536745,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-338,733.0975952759122,0.209412697513734,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-369,771.6188373050857,0.2098688711516534,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
E_RR,5_TR-202-131-401,784.0559139792551,0.2101373297623796,95.0,tension,TR,"$E_{t,RR}$",False,21.190907347224755
