sample,exp_mass,dry_mass,moisture_content
3_CT-239-166-357,19.7742,18.158,0.0890075999559422
3_CT-239-166-388,19.8277,18.211,0.0887760144967328
3_CT-239-166-419,19.9058,18.296,0.0879864451246174
3_CT-239-166-451,19.7896,18.195,0.0876394613904918
3_CT-239-166-482,19.8173,18.21,0.088264689730917
3_CT-239-166-513,19.8699,18.261,0.0881057992442912
3_CT-239-166-545,19.8387,18.214,0.0892006149116065
3_CT-239-166-576,19.9,18.267,0.0893961789018448
3_CT-239-166-607,19.8804,18.252,0.0892176199868509
3_CT-239-166-639,19.7975,18.175,0.089270976616231
3_CT-239-166-670,20.2222,18.548,0.0902631011429805
