,,cam1,cam1,cam2,cam2
data_3_CR,3_CR-161-132-572,L,R,T,R
data_3_CR,3_CR-161-132-603_K,L,R,T,R
data_3_CR,3_CR-161-132-635_K,L,R,T,R
data_3_CR,3_CR-161-132-666_K,L,R,T,R
data_3_CR,3_CR-161-132-697,L,R,T,R
data_3_CR,3_CR-161-132-728,L,R,T,R
data_3_CR,3_CR-161-132-760,L,R,T,R
data_3_CR,3_CR-161-132-791,L,R,T,R
data_3_CR,3_CR-161-132-822,L,R,T,R
data_3_CR,3_CR-161-132-854,L,R,T,R
data_3_CR,3_CR-161-132-885,L,R,T,R
data_3_CR,3_CR-161-132-916,L,R,T,R
data_3_CR,3_CR-161-132-948,L,R,T,R
data_3_CR,3_CR-161-132-979,L,R,T,R
data_3_CT,3_CT-239-166-043,L,T,R,T
data_3_CT,3_CT-239-166-075,L,T,R,T
data_3_CT,3_CT-239-166-106,L,T,R,T
data_3_CT,3_CT-239-166-137_K,L,T,R,T
data_3_CT,3_CT-239-166-169_K,L,T,R,T
data_3_CT,3_CT-239-166-200_K,L,T,R,T
data_3_CT,3_CT-239-166-231,L,T,R,T
data_3_CT,3_CT-239-166-263,L,T,R,T
data_3_CT,3_CT-239-166-294,L,T,R,T
data_3_CT,3_CT-239-166-325,L,T,R,T
data_3_CT,3_CT-239-166-357,L,T,R,T
data_3_CT,3_CT-239-166-388,L,T,R,T
data_3_CT,3_CT-239-166-419,L,T,R,T
data_3_CT,3_CT-239-166-451,L,T,R,T
data_3_CT,3_CT-239-166-482,L,T,R,T
data_3_CT,3_CT-239-166-513,L,T,R,T
data_3_CT,3_CT-239-166-545,L,T,R,T
data_3_CT,3_CT-239-166-576,L,T,R,T
data_3_CT,3_CT-239-166-607,L,T,R,T
data_3_CT,3_CT-239-166-639,L,T,R,T
data_3_CT,3_CT-239-166-670,L,T,R,T
data_3_CT,3_CT-239-166-701,L,T,R,T
data_3_CT,3_CT-239-166-732,L,T,R,T
data_3_CT,3_CT-239-166-764,L,T,R,T
data_3_CT,3_CT-239-166-795,L,T,R,T
data_3_CT,3_CT-239-166-858,L,T,R,T
data_3_CT,3_CT-239-166-889,L,T,R,T
data_3_CT,3_CT-239-166-920,L,T,R,T
data_3_CT,3_CT-239-166-952,L,T,R,T
data_3_TL,3_TL-036-167-031,R,L,T,L
data_3_TL,3_TL-036-167-504,R,L,T,L
data_3_TL,3_TL-037-131-504,T,L,R,L
data_3_TL,3_TL-037-191-031,R,L,T,L
data_3_TL,3_TL-038-098-030,T,L,R,L
data_3_TL,3_TL-040-122-030,T,L,R,L
data_3_TL,3_TL-042-166-031,R,L,T,L
data_3_TL,3_TL-042-189-031,T,L,R,L
data_3_TL,3_TL-042-189-504,R,L,T,L
data_3_TL,3_TL-049-095-504,R,L,T,L
data_3_TL,3_TL-050-120-504,R,L,T,L
data_3_TL,3_TL-053-164-504_K,R,L,T,L
data_3_TL,3_TL-054-189-504,R,L,T,L
data_3_TL,3_TL-059-162-030,R,L,T,L
data_3_TL,3_TL-059-162-504,R,L,T,L
data_3_TL,3_TL-060-186-031,R,L,T,L
data_3_TL,3_TL-060-186-504,R,L,T,L
data_3_TL,3_TL-070-115-504,R,L,T,L
data_3_TL,3_TL-074-156-031,T,L,R,L
data_3_TL,3_TL-074-156-504,R,L,T,L
data_3_TL,3_TL-075-180-031,R,L,T,L
data_3_TL,3_TL-075-180-504,T,L,R,L
data_3_TL,3_TL-079-088-504_K,R,L,T,L
data_3_TL,3_TL-080-113-031_K,T,L,R,L
data_3_TL,3_TL-081-155-031,R,L,T,L
data_3_TL,3_TL-081-155-504,R,L,T,L
data_3_TL,3_TL-081-179-031,R,L,T,L
data_3_TL,3_TL-081-179-504,R,L,T,L
data_3_TL,3_TL-130-132-504,T,L,R,L
data_3_TL,3_TL-131-106-031,R,L,T,L
data_3_TL,3_TL-131-106-504,R,L,T,L
data_3_TL,3_TL-138-133-030,T,L,R,L
data_3_TL,3_TL-141-109-031,T,L,R,L
data_3_TR,3_TR-197-136-010,L,R,T,R
data_3_TR,3_TR-197-136-041,L,R,T,R
